Occupation/Context,Total Employed (US),Gesture-Relevance Analysis,Context Tags,Gestural Cueing for Alerts or Transitions,Need for Discreet or Silent Communication,Multimodal Command Needs,Wears Gloves or Hands Often Dirty,Safety-Critical Tasks,Touch-Free Requirement,"Environmental Sensitivity (Moisture, Heat, Cold)",Hands Frequently Full,Performance Contexts,Sterile or Hygiene-Sensitive Settings,Task Switching Without Losing Flow,Field Work with Limited Tech Access,One-Handed or Asymmetric Work,High-Volume Repetitive Logging,Dim or Low-Light Workspaces,Constant Motion / Mobile Work,Visual Focus Must Stay Forward,Time-Sensitive or High-Paced Environments,Noisy Environments (Voice Input Unreliable),Irregular or Constrained Environments,Team-Based Spatial Work,Public-Facing with Frequent Interruptions,Objects or Screens are Out of Reach,Data/Interface Control While Focused Elsewhere
Trash Collector,124661,"Trash collectors perform repetitive, high-exertion work in all weather — lifting bins, climbing steps, and staying alert to traffic. Gesture input offers a silent, hygienic tool for route tracking, damage reporting, or crew alerts without relying on fragile devices.","['Performance Contexts', 'Need for Discreet or Silent Communication', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,124661,0,0,0,124661,0,0,124661,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0
Truck Washer,124661,"Truck washers clean massive vehicles using sprays and brushes in wet, rugged environments. Gloves are soaked, screens are useless. Gesture input could activate wash stages, log inspections, or adjust water pressure hands-free — keeping them safe and efficient in high-splash zones.","['Performance Contexts', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",0,0,0,124661,0,124661,0,0,124661,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,0
Utility Bagger,124661,"Utility baggers move between checkout, stocking, and cleanup tasks, often with full hands and frequent interruptions. Gesture control could offer discreet access to task lists, break requests, or register notifications — all without dropping what they’re doing or walking away from customers.","['Public-Facing with Frequent Interruptions', 'Need for Discreet or Silent Communication', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,124661,0,0,0,124661,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,124661,0,0
Van Loader,124661,"Van loaders move packages quickly and methodically to meet tight shipping windows. With a high physical load and little time for screens, gesture input lets them confirm zones, flag damaged goods, or mark completion hands-free — reducing delays without disrupting flow.","['Time-Sensitive or High-Paced Environments', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,0,0,124661,0,0,0,0,0,0,0,0,0,124661,0,124661,0,0,0,0,0,0
Warehouse Stocker,124661,"These workers scale ladders, move pallets, and navigate dense shelving. Gloves and dust are common, and screens often get in the way. Gesture systems could provide clean access to inventory systems, pick lists, or shelf maps — enabling faster, smarter work.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,124661,0,0,0,0,0,0,0,0
Wharf Laborer,124661,"Wharf laborers load and unload cargo from ships, often in wet, windy, and loud outdoor conditions. Touch devices are fragile and slow. Gesture input offers a rugged solution for cargo logging, crew alerts, or shift changes — helping streamline chaotic port activity.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'Noisy Environments (Voice Input Unreliable)']",0,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,124661,0,0,124661,0,0,0,0,0
Hand laborers and material movers,124661,"These general laborers span many industries and environments — from farms to factories to construction sites. They’re always in motion, often gloved, and rarely near fixed terminals. Gesture input adds a universal, adaptable layer for task tracking, alerts, and coordination without breaking stride.","['Gestural Cueing for Alerts or Transitions', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",124661,0,0,124661,0,124661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banquet Set Up Person,183041,"Setting up banquet spaces means lifting tables, arranging décor, and adjusting lighting on tight timelines. It’s physical, mobile, and fast-paced. Gesture-based control could help with music cues, lighting presets, or completion checklists — letting workers adapt the space fluidly while staying hands-on.","['Constant Motion / Mobile Work', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments', 'High-Volume Repetitive Logging']",0,0,0,0,0,183041,0,0,0,0,0,0,0,183041,0,183041,0,183041,0,0,0,0,0,0
Bar Back,183041,"Bar backs move quickly in tight spaces, juggling glassware, ice, and supplies — often during peak hours. With wet hands and no time to fumble with tech, gestures could let them signal low stock, check drink prep steps, or update their stations quietly and quickly. It keeps the bar running without missing a beat.","['Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",0,0,0,183041,0,183041,0,0,0,0,0,0,0,0,0,183041,0,183041,0,0,0,0,0,0
Bar Host/Hostess,183041,"Bar hosts juggle reservations, guest greetings, and table assignments — often while holding menus, communicating with staff, or navigating loud, dim environments. Gesture input could allow silent communication with servers, table status updates, or queue adjustments — keeping flow smooth without needing to touch devices mid-shift.","['Need for Discreet or Silent Communication', 'Hands Frequently Full', 'Dim or Low-Light Workspaces', 'Constant Motion / Mobile Work']",0,183041,0,0,0,0,0,183041,0,0,0,0,0,0,183041,183041,0,0,0,0,0,0,0,0
Bar Hostess,183041,"Similar to a bar host, a bar hostess balances personal interaction with logistical multitasking. In fast-paced, high-volume venues, gesture control allows hands-free access to table maps or subtle coordination with floor staff, especially when voice communication isn’t ideal. It helps them stay present with guests while managing back-end operations.","['Time-Sensitive or High-Paced Environments', 'Public-Facing with Frequent Interruptions', 'High-Volume Repetitive Logging', 'Touch-Free Requirement']",0,0,0,0,0,183041,0,0,0,0,0,0,0,183041,0,0,0,183041,0,0,0,183041,0,0
Barback,183041,"Barbacks are in constant motion — restocking, cleaning, prepping garnishes — often with wet or full hands. Screens and voice input are impractical in loud, slippery bar environments. Gestures could provide silent inventory alerts, music control, or quick coordination with bartenders without breaking their pace or rhythm.","['Need for Discreet or Silent Communication', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",0,183041,0,183041,0,183041,0,0,0,0,0,0,0,0,0,0,0,183041,0,0,0,0,0,0
Barista,183041,"Baristas work with both hands constantly — steaming milk, pulling espresso, and managing custom orders. With gloves or damp hands, switching screens or devices disrupts flow. Gesture input could enable recipe cycling, queue updates, or communication with the register team, improving both speed and service without risking hygiene.","['Sterile or Hygiene-Sensitive Settings', 'Hands Frequently Full', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,183041,0,183041,0,183041,0,183041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boat Hop,183041,"Boat hops assist with passenger boarding and carry luggage on docks and vessels. They often work in wet, outdoor conditions with both hands engaged. Gesture-based input would allow them to signal readiness, confirm arrivals, or communicate with the boat crew discreetly and touch-free — crucial in busy marinas where time and safety matter.","['Need for Discreet or Silent Communication', 'Hands Frequently Full', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,183041,0,183041,0,183041,0,183041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffet Attendant,183041,"Buffet attendants monitor food stations, clean spills, and ensure restocking — usually while gloved and navigating crowded dining areas. Gesture input enables quick alerts for low items, table resets, or hot tray replacements, all without stepping away from their stations or breaking food safety protocol.","['Wears Gloves or Hands Often Dirty', 'Gestural Cueing for Alerts or Transitions', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",183041,0,0,183041,0,183041,0,0,0,0,0,0,0,0,0,0,0,183041,0,0,0,0,0,0
Bus Person,183041,"Bussers move fast between tables, clearing plates and resetting for new guests. Their hands are often full or dirty, and hygiene is critical. A gesture system would allow them to notify dish crews, request assistance, or update table status without stopping to use shared screens or radios.","['Sterile or Hygiene-Sensitive Settings', 'Public-Facing with Frequent Interruptions', 'Wears Gloves or Hands Often Dirty', 'Constant Motion / Mobile Work']",0,0,0,183041,0,0,0,0,0,183041,0,0,0,0,0,183041,0,0,0,0,0,183041,0,0
Busser,183041,"Like bus persons, bussers operate in high-traffic, fast-paced environments. Gestures offer a discreet, sanitary way to coordinate with servers, log cleared tables, or signal for help during peak times — supporting quicker turns and smoother service without slowing down.","['Sterile or Hygiene-Sensitive Settings', 'Need for Discreet or Silent Communication', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,183041,0,183041,0,183041,0,0,0,183041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cafe Server,183041,"Café servers manage food delivery, table service, and point-of-sale transactions in casual but often busy spaces. With trays in hand and guests to engage, gestures could let them silently update orders, check seating, or communicate with kitchen staff without breaking the flow of service.","['Performance Contexts', 'Public-Facing with Frequent Interruptions', 'Need for Discreet or Silent Communication', 'Constant Motion / Mobile Work']",0,183041,0,0,0,0,0,0,183041,0,0,0,0,0,0,183041,0,0,0,0,0,183041,0,0
Cafeteria Server,183041,"Cafeteria servers manage bulk food service during peak meal times, frequently behind counters with gloves on. Screens are inconvenient mid-serving. Gesture input could let them update food counts, notify of special requests, or signal a tray change — allowing for a faster, cleaner workflow.","['Gestural Cueing for Alerts or Transitions', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",183041,0,0,183041,0,183041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Concession Stand Attendant,183041,"At concerts, stadiums, or festivals, concession attendants work fast in tight booths, with high noise and long lines. Gloves are often required, and space is tight. Gesture input enables touchless item tracking, inventory calls, or music control — streamlining operations in loud, crowded environments.","['Noisy Environments (Voice Input Unreliable)', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,183041,0,183041,0,0,0,0,0,0,0,0,0,0,0,0,183041,0,0,0,0,0
Dining Room Host,183041,"Dining room hosts manage reservations, seating flow, and first impressions. Their job requires frequent multitasking — checking systems, holding menus, speaking with staff. Gesture input could streamline waitlist updates or table changes without them stepping away or losing engagement with guests.","['Public-Facing with Frequent Interruptions', 'Hands Frequently Full', 'Touch-Free Requirement']",0,0,0,0,0,183041,0,183041,0,0,0,0,0,0,0,0,0,0,0,0,0,183041,0,0
Dining Room Host/Hostess,183041,"Hosts/hostesses coordinate guest flow while maintaining a welcoming front-of-house presence. Gesture input would offer subtle, screen-free access to seating plans or communication with the kitchen, helping them manage timing and flow without disrupting the guest experience.",['Touch-Free Requirement'],0,0,0,0,0,183041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Counter Worker,183041,"These workers serve food quickly across a counter, balancing order fulfillment, prep, and customer interaction. Gloves and pace make touchscreens awkward. Gesture input would allow them to cycle orders, flag allergens, or call for backup without leaving their station or compromising cleanliness.","['Public-Facing with Frequent Interruptions', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement', 'Time-Sensitive or High-Paced Environments']",0,0,0,183041,0,183041,0,0,0,0,0,0,0,0,0,0,0,183041,0,0,0,183041,0,0
Hospital Food Service Worker,183041,"These workers deliver meals in sterile hospital environments where hygiene and discretion are paramount. Gloves and strict protocols limit tech access. Gesture-based input could support contactless logging, tray verification, or dietary updates — enhancing compliance and reducing cross-contamination risk.","['Sterile or Hygiene-Sensitive Settings', 'Performance Contexts', 'Wears Gloves or Hands Often Dirty', 'Touch-Free Requirement']",0,0,0,183041,0,183041,0,0,183041,183041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
